timestamp,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,jawForward,jawLeft,jawRight,jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthLeft,mouthRight,mouthSmileLeft,mouthSmileRight,mouthFrownLeft,mouthFrownRight,mouthDimpleLeft,mouthDimpleRight,mouthStretchLeft,mouthStretchRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressLeft,mouthPressRight,mouthLowerDownLeft,mouthLowerDownRight,mouthUpperUpLeft,mouthUpperUpRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,tongueOut,custom_52,custom_53,custom_54,custom_55,custom_56,custom_57,custom_58,custom_59,custom_60,custom_61,custom_62,custom_63,custom_64,custom_65,custom_66,custom_67
33.733333,0.0,0.0,0.0,0.0,0.0,0.028971,0.320548,0.0,0.0,0.0,0.0,0.0,0.029106,0.320624,0.018196,0.0,0.023444,0.070594,0.016935,0.213357,0.002942,0.003821,0.0,0.073618,0.078419,0.0,0.000135,0.020026,0.018741,0.111574,0.119346,0.0,0.00675,0.0,0.000269,6.7e-05,5.4e-05,0.218126,0.214591,0.058733,0.060793,0.0,0.0,0.339624,0.376418,0.376588,0.0,0.040831,0.04702,0.000502,0.001261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33038,1.0,0.377336,1.0,1.0,1.0
33.75,0.0,0.0,0.0,0.0,0.0,0.027704,0.322746,0.0,0.0,0.0,0.0,0.0,0.027826,0.32281,0.017964,0.0,0.023688,0.070747,0.015137,0.23697,0.006376,0.003726,0.0,0.064756,0.070651,0.0,0.000128,0.019241,0.017898,0.109646,0.118057,0.0,0.006354,0.0,0.000254,7.3e-05,7.7e-05,0.222909,0.218716,0.066288,0.067924,0.0,0.0,0.334651,0.37266,0.372834,0.0,0.041315,0.047587,0.000605,0.001702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.364151,1.0,0.380931,1.0,1.0,1.0
33.766667,0.0,0.0,0.0,0.0,0.0,0.026284,0.32204,0.0,0.0,0.0,0.0,0.0,0.026397,0.32206,0.017824,0.0,0.024459,0.07063,0.012526,0.265698,0.016276,0.003747,0.0,0.050256,0.05718,0.0,0.000273,0.018858,0.017518,0.107648,0.117363,0.0,0.005801,0.0,0.000452,9.8e-05,0.00016,0.226938,0.222405,0.074294,0.076134,0.0,0.0,0.331987,0.372227,0.372406,0.0,0.040853,0.047109,0.001073,0.003632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.412321,1.0,0.386207,1.0,1.0,1.0
33.783333,0.0,0.0,0.0,0.0,0.0,0.024845,0.320235,0.0,0.0,0.0,0.0,0.0,0.024964,0.32027,0.017811,0.0,0.025548,0.0692,0.01123,0.29136,0.030816,0.003618,0.0,0.03289,0.040515,0.0,0.000258,0.017703,0.016353,0.10643,0.117147,0.0,0.005365,0.0,0.000717,0.0,0.000145,0.229849,0.22484,0.080631,0.08321,0.0,0.0,0.329108,0.372204,0.372394,0.0,0.040082,0.046539,0.00244,0.007325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.458156,1.0,0.388733,1.0,1.0,1.0
33.8,0.0,0.0,0.0,0.0,0.0,0.023631,0.316518,0.0,0.0,0.0,0.0,0.0,0.023728,0.316503,0.018003,0.0,0.026451,0.068288,0.009624,0.312817,0.046722,0.003578,0.0,0.018434,0.02381,9.5e-05,0.000113,0.016471,0.015119,0.106386,0.118026,0.0,0.004918,0.0,0.000921,0.0,7.1e-05,0.232172,0.226716,0.085313,0.088129,0.0,0.0,0.326105,0.371375,0.371575,0.0,0.038926,0.04507,0.004026,0.010185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.476008,1.0,0.387632,1.0,1.0,1.0
33.816667,0.0,0.0,0.0,0.0,0.0,0.022881,0.310099,0.0,0.0,0.0,0.0,0.0,0.022984,0.310064,0.018061,0.0,0.026537,0.068717,0.007995,0.331343,0.055712,0.003368,0.0,0.009727,0.014756,0.000642,0.000488,0.015347,0.014071,0.107531,0.119316,0.0,0.004527,0.0,0.001091,0.0,3.2e-05,0.236425,0.230374,0.08852,0.091308,0.0,0.0,0.323407,0.368747,0.368946,0.0,0.037701,0.043901,0.004966,0.011962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.469052,1.0,0.390808,1.0,1.0,1.0
33.833333,0.0,0.0,0.0,0.0,0.0,0.022923,0.300949,0.0,0.0,0.0,0.0,0.0,0.023019,0.30084,0.017679,0.0,0.026025,0.071906,0.006722,0.343493,0.054906,0.003021,0.0,0.001601,0.005633,0.002217,0.00169,0.014234,0.013102,0.108952,0.120454,0.0,0.004104,0.0,0.001236,0.0,6.9e-05,0.242198,0.235239,0.089425,0.091836,0.0,0.0,0.319726,0.361952,0.362134,0.0,0.036824,0.042993,0.005306,0.012005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.445909,1.0,0.391716,1.0,1.0,1.0
33.85,0.0,0.0,0.0,0.0,0.0,0.023599,0.290736,0.0,0.0,0.0,0.0,0.0,0.023673,0.290583,0.016852,0.0,0.025573,0.088006,0.006149,0.351921,0.052659,0.003009,0.0,0.0,0.001057,0.006901,0.005953,0.013513,0.012463,0.110544,0.121355,0.0,0.003736,0.0,0.001114,0.0,0.000112,0.25269,0.244478,0.088962,0.090612,0.0,0.0,0.317217,0.352894,0.353057,0.0,0.036343,0.041932,0.004717,0.010349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.41959,1.0,0.391834,1.0,1.0,1.0
33.866667,0.0,0.0,0.0,0.0,0.0,0.024595,0.287066,0.0,0.0,0.0,0.0,0.0,0.024666,0.28692,0.016923,0.0,0.025094,0.123955,0.007275,0.360328,0.05366,0.002909,0.0,0.0,0.000174,0.020164,0.018657,0.013272,0.012393,0.113101,0.122946,0.0,0.003497,0.0,0.0008,0.0,0.000132,0.270281,0.260786,0.086678,0.087633,0.0,0.0,0.31675,0.343708,0.343843,0.0,0.035479,0.040828,0.003246,0.007315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.398708,1.0,0.387309,1.0,1.0,1.0
33.883333,0.0,0.0,0.0,0.0,0.0,0.025684,0.288958,0.0,0.0,0.0,0.0,0.0,0.025779,0.288866,0.018409,0.0,0.025048,0.173202,0.010515,0.360716,0.057264,0.002963,0.0,0.0,0.000146,0.042963,0.040954,0.013363,0.012515,0.116891,0.125815,0.0,0.003529,0.0,0.000495,0.0,7.5e-05,0.293695,0.28327,0.08508,0.085761,0.0,0.0,0.319073,0.335595,0.335713,0.0,0.034263,0.039629,0.001631,0.004308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.369773,1.0,0.379697,1.0,1.0,1.0
